order,batchNumber,levelName,makerName,discordName,progress,difficultyName,gameStyle,mainTheme,subTheme,briefDescription,region,clearCondition,averageClearTime,description,makerDescription,makerId,difficulty,tags,nationality,levelCode
43,6,Goom Boot Grotto,BuilderM,,100%,Easy,SMB1,Sky Night,Sky Night,"A mashup of zelda style dungeons with film noir. Lead an investigation to discover the truth behind the attack on Mr Blooper, who is doing fine and is in recovery. Level includes a mini map and features simple puzzles to guide you into finding the villian.",Rest of the World,No,Medium (Average completion time between  1:30 and 4 minutes,"Many players have asked for a Zelda Maker ever since the release of Mario Maker 1. However, the closest thing we have to a Zelda Maker, as of now, is the link power up in Mario Maker 2. So is it possible to make a traditional zelda dungeon level? Well, thanks to scroll stop you can. Join Link as he embarks on an adventure in this stiletto shaped dungeon. The level features a map and a surprise item that makes it feel like a traditional zelda dungeon level.","BuilderM is a fan of all different types of maker games. If you can build it, BuilderM loves it. Like most players, he has been around since Mario Maker 1. He has enjoyed the addition of the Link powerup, creating Zelda dungeon levels like no other. He likes to take the challenge of making levels that use enemies or themes that aren’t typically used and creating something fun and enjoyable from them.
",8SJ-090-M2G,6,"Themed, Puzzle",AU,PLR-X9V-NQG
44,6,Stardust and Angry Rocks,Matrix,Neil #0627,100%,Super Expert,SMW,Sky,Sky,Run and jump off of munchers using the star powerup!,USA,,Medium (Average completion time between  1:30 and 4 minutes,"These clouds are full of stardust! But watch out… there are also many dangerous munchers, well known for being unstoppable and instantly hurting mario. If only there was a powerup that would neutralize the power of the munchers.","Matrix is a 17 year old professional child. Having helped popularize troll levels through running the troll race in the original Mario Maker, Matrix lives most of his life in shame.  Despite this, he has shown his face to upload his first level in Mario Maker 2!",8DB-6BW-5WF,7,"Autoscroll, Action",US,
45,6,Morton's Meltdown,JulianSMM,,75%,Normal,SMB1,Ghost House,Ghost House,Manipulation of Morton´s flames. Easy puzzles showing a variety of interesting unknown mechanics,Europe,Who tf uses these,Medium (Between 2 and 4 minutes),"In this STUNNING level (bad joke, we know) you find yourself in an icy cave inhabited by the mad Morton. Explore the mechanics around Morton's flames and melt your way through the cave. This time it is actually recommended to play with fire!","Julian has been in the YMM projects since year 1 when he was 14 and had just started exploring SMM1's mechanisms and opportunities. Now he is 18… and still a Mario Maker enthusiast. In-game he is known for his very own style of creating gimmick levels used to explore interesting mechanics, just like this time. Besides making levels he enjoys biking, hiking, various types of sports, streaming and more. The SMM community is, in his opinion, the best community he has ever seen and he is grateful he was able to experience all of this.",Q9M-K4G-D0H,5,"Themed, Puzzle",DE,KLJ-VBJ-Y6G
46,6,Doki Doki Platforms,Mang,derjoghurthose,100%,Expert,SMB1,Ghost House,Ghost House,"constant on/off switching makes pows on munchers on conveyors move back and forth, hide beneath saws ,also muncher walls moving back and forth, sometimes ducking ,sometimes springs.",Europe,,Medium (Average completion time between  1:30 and 4 minutes,Relaxing stroll through my house. The floor does not seem to be working right. Please get out.,Mang is Mang.,SV5-0FW-3MG,8,Traditional,DE,FJ8-45V-L4G
47,6,Welcome to the Machine,Lektor,LektorSandvik,100%,Expert,SMB3,Sky Night,Sky Night,Autoscroller with stuff being attached to thwomps. Action platformer. ,Europe,No,Medium (Average completion time between  1:30 and 4 minutes,We’re in for nasty weather. Mario has infiltrated a sky-high thwomp mech construction facility and has to hang on for dear life or he’ll plummet to the ground. Turns out mechakoopas are really bad at complying with OSHA guidelines.,"Lektor is a Norwegian high school media teacher who likes making high concept levels that tread that fine line between stupid and clever. In addition to being this year’s graphic designer and video producer, he’s also the 1992 Super Mario World town champion and has the diploma to prove it. Admittedly, it was a small town. But still.",JGF-2PG-D3G,7,"Action, Autoscroll",NO,588-WQ1-8FG
48,6,Your Own Worst Enemy,DTSpies,DeathToSpies,100%,Super Expert,SMB1,Ground Night,Ground Night,"Music from Celeste, Old Site (Resurrections)",,,,"Music and platforming inspired by everyone’s favorite indie platformer slash depression simulator, Celeste. collect all the stawberries, and you might be in for some pie.",DeathToSpies is a dude playing a dude disguised as another dude.,VHP-1VM-NSG,7,"Musical, Autoscroll",US,W7D-2CV-LRF
49,7,Pokey Percussion,Nabuz,nickabuz,100%,Expert,SMB3,Desert,Desert,Player traps themselves in on/off blocks to prevent damage from pokeys on tracks. Looped music gives rhythm of on/off state changes,USA,,Medium (Average completion time between 1:30 and 4 minutes),"Who knew that walls can protect you from a pokey’s spines? Get ready to move to the rhythm as you dodge pokeys, solve some light puzzles, and listen to some sick beats.","Nabuz is a 21-year-old software engineer and college student in the US. From making unfair precision levels in Lunar Magic as a kid to making unintuitive one-screen puzzles in MM1, Nabuz got all his hot garbage out early so he could bring his A-game to MM2. His favorite kinds of levels to build are ones that use contraptions to change the rules of the game, like his recent level, Flipswitch Caverns, and the first level he’s debuting for 4YMM (that he’s been sitting on since November last year).",L7R-T93-TRG,6,"Themed, Musical",US,
50,7,Jungle Jam,Macho Man, ,100%,Expert,NSMBU,Forest,Forest Night,Jungle level of jumping on piranha plants,Rest of the World,,Medium (Average completion time between  1:30 and 4 minutes,"Piranha plants galore! This level features some crazy contraptions, I mean, woah, those plants are moving like they never did before! It’s a real bungle in the jungle.","Macho Man is a 18 year old brazilian maker with a mexican flag, whose love to play videogames comes from a young age. He builds all kinds of crazy contraptions, platforming and kaizo levels, but he has a special love for great puzzles, which are the star of his upcoming Super World. His dream job is to work with videogames, be it making, playing or streaming them!",BW9-S37-0QF,7,"Themed, Traditional",BR,
51,7,Black Ships on Blood Sea,Magatoro,Magatoro,100%,Normal,SMW,Castle,Castle,Ships composed of bill Blasters and cannons,,,,Two huge black ships sail on the lava. These ships are composed of bill blasters and cannons. The first ship will follow you. The second one is equipped with a laser beam cannon. Use both ships well to defeat Bowser.,"Magatoro is Japanese level creator who likes to make levels with mechanical and complex gimmicks. Two of Magatoro’s levels have been showcased by Nintendo. The first was a featured level in a contest held by the official Nintendo YouTube channel of Japan. The other was at an event for Nintendo Live 2019 held in Kyoto, Japan.",QMX-59X-PXF,6,"Themed, Autoscroll",JP,
52,7,What is Love?,KDawg,KDawg,100%,Super Expert,SMB1,Sky,Sky,"Music level based on Haddaway's ""What is Love?""",USA,None,Medium (Average completion time between  1:30 and 4 minutes,"What Is Love? Baby don’t hurt me, don’t hurt me, no more. You may find yourself bobbing your head back and forth to the music as you play through this challenging platformer. Use the SMB2 mushroom to platform off bob ombs in a unique way while listening to this familiar song from Haddaway.",Kdawg participated in 3YMM and is looking forward to this year. Enjoys making musical platforming levels. Grew up during the 80s so has lots of great music to make into levels.,90L-YNS-KLG,6,"Musical, Autoscroll",US,
53,7,Töxik Ekspress,Funahuxnna,Funahuxnna,100%,Super Expert,SMW,Forest Night,Forest Night ,Train ride (bullet bill blasters on conveyor) above toxic waters. Overworld with brisk pace and platforming and subworld similar but with two train cars.,Europe,Prolly not,Long (average etc. > 4 minutes),Platforming on a brisk paced train ride above töxik waters.,Funa is from Swenland and is still very happy that Super Mario Maker exists.,Y43-R8L-T4G,8,"Autoscroll, Action",FI,
54,7,Unnatural Tornado,SRent,SЯeNT,100%,Expert,SMB1,Desert,Desert,Spike balls shenanigans,,,,"Twisters and spike balls are the main elements of this level. There are various other actors behind the scenes, but the level is structured so that the player can only see the twisters' wind and the spikeball. The first thing I used in MM2 was the twister, an element I'm very passionate about, so I challenged myself to see how well I could use it.","SReNT loves 2D platform games, especially the Mega Man and Super Mario series. In Mario Maker he creates levels with lots of unique ideas.",4VV-6VL-P9G,7,"Themed,Gimmick",JP,
55,7,Crawl Space,Saku,Saku,100%,Super Expert,SMB1,Underground,Underground,Mole puzzle,,,,"All but blind in his chambered hole, waits lonely old Mr. Mole. Knowledge is power in this sprawling, crawling ""puzzlevania"" adventure.","Saku is a videographer from Ontario, Canada. For this year's level, he was influenced by puzzle platforming games like Playdead’s INSIDE, and Toki-Tori 2.",DVQ-5Q4-WSG,8,Puzzle,CA,
56,7,Scarlet Overalls Rhapsody,Bossman,,100%,Super Expert,SMB3,Ghost House,,"A musical platformer of 'Septette For the Dead Princess' from Touhou EoSD. The gameplay style has not been decided yet, but may include cloud sections to emulate Touhou bullet dodging; the clear rate will likely be somewhere in the ballpark of 2-3%. The music is finished other than perhaps slight changes near the end.",USA,,Short (Average completion time < 1:30 minutes),"Toadette Hakurei travels to the Scarlet Devil Mansion to battle Remilia Scarlet, the immortal scarlet moon, in this homage to The Embodiment of Scarlet Devil. The name of the music used is ‘Septette for the Dead Princess’.","A veteran of the early SMM1 music platformer scene, Bossman returned in SMM2 to make everyone’s favorite Undertale levels (and sometimes other things too). Other than a Mario maker, Bossman is a devoted pianist/singer, avid Celeste player, and music theory nerd.",2W9-W7D-25G,6,"Musical, Autoscroll",CA,
57,8,Magnetic Walls,Donkeymint,Donkeymintinc,75%,Expert,SMB1,Castle,Castle,Magnetic Jumps,USA,,Medium (Average completion time between  1:30 and 4 minutes,,,,8,Traditional,,
64,8,Different Space Dancing,Ichigotan,ichigotan,100%,Expert,NSMBU,Ground Night,Ground Night,Musical platformer (Remix of SMW),,,,Dance battle with an illusionist who operates a truck in a different space,I love RPG and always want to create RPG-like levels. I am good at incorporating music into action.,0V3-S5S-1XF,,"Musical, Autoscroll",,
,,The StarMazing Maze,Jimzan,,100%,Normal,SMB1,Ghost House,Ghost House,Star Maze misc music level,,,,,,0S6-VFJ-S7G,5,"Musical, Themed",SE,
,,Blood Wiggler Mansion,Nexar,Nexar,100%,Normal,SMB1,Ghost House Night,Ghost House Night,Crouch to see within the darkness,USA,None,Long (average etc. > 4 minutes),"Lost in the darkness of the mansion, Mario must kneel down and pray to the mushroom gods to light his way.",Nexar is a 17 year old who is too busy playing maker games to learn how to make games himself.,FGL-JHJ-21G,5,"Themed, Puzzle",US,
,,,Zurfink,,100%,Normal,SMW,Ghost House,Ghost House,The level is focused on platforming using custom auto-scroll.,Europe,,Medium (Average completion time between  1:30 and 4 minutes,,,,,"Action, Autoscroll",,
,,,Noir,Noir,100%,Expert,SMB1,Forest Night,Forest Night,All enemies except the boss are hidden under the poison swamp. Surprise attack and tricky movement.,Japan,,Long (average etc. > 4 minutes),,,,6,"Themed, Autoscroll",,
,,,Pinkston,DavidPinkston,100%,Expert,3DW,Desert,Desert,"A cat suit level designed with extended periods of the exhaustion state, so surfaces must be sought out to recharge the climbing ability",,,,,,,,Themed,,
,,,MegaTefyt,,100%,Super Expert,SMW,Desert,Underground,Platforming level with different types of platforms on tracks,Europe,,Medium (Average completion time between  1:30 and 4 minutes,,,,,Action,,
,,,Pro Lotus,progressivelotus,50%,Super Expert,SMW,Forest Night,Forest Night,platforming based around cannons and platforms in unquie ways. ,,,,,,,,Themed,,
,,,Grakowsky,,100%,Normal,SMB3,Ground Night,Underground,Puzzle with machinery,,,,,,,,,,
